Timestamp,Host,Reachable,Avg_RTT_ms
2025-06-28 23:10:03,192.168.1.1,Yes,N/A
2025-06-28 23:20:01,8.8.8.8,Yes,16.780
2025-06-28 23:20:02,1.1.1.1,Yes,2.425
2025-06-28 23:20:03,192.168.1.1,Yes,N/A
2025-06-28 23:30:01,8.8.8.8,Yes,16.569
2025-06-28 23:30:02,1.1.1.1,Yes,26.905
2025-06-28 23:30:03,192.168.1.1,Yes,N/A
2025-06-28 23:40:01,8.8.8.8,Yes,18.249
2025-06-28 23:40:02,1.1.1.1,Yes,5.290
2025-06-28 23:40:13,192.168.1.1,Yes,N/A
2025-06-28 23:50:01,8.8.8.8,Yes,19.223
2025-06-28 23:50:02,1.1.1.1,Yes,3.907
2025-06-28 23:50:03,192.168.1.1,Yes,N/A
2025-06-29 00:00:01,8.8.8.8,Yes,18.773
2025-06-29 00:00:02,1.1.1.1,Yes,6.333
2025-06-29 00:00:03,192.168.1.1,Yes,N/A
2025-06-29 00:10:01,8.8.8.8,Yes,18.029
2025-06-29 00:10:02,1.1.1.1,Yes,41.989
2025-06-29 00:10:03,192.168.1.1,Yes,N/A
2025-06-29 10:00:01,8.8.8.8,Yes,19.508
2025-06-29 10:00:02,1.1.1.1,Yes,3.581
2025-06-29 10:00:03,192.168.1.1,Yes,N/A
2025-06-29 10:10:01,8.8.8.8,Yes,18.166
2025-06-29 10:10:02,1.1.1.1,Yes,16.798
2025-06-29 10:10:03,192.168.1.1,Yes,N/A
2025-06-29 10:20:01,8.8.8.8,Yes,17.396
2025-06-29 10:20:02,1.1.1.1,Yes,2.330
2025-06-29 10:20:03,192.168.1.1,Yes,N/A
2025-06-29 10:30:01,8.8.8.8,Yes,89.519
2025-06-29 10:30:02,1.1.1.1,Yes,7.765
2025-06-29 10:30:03,192.168.1.1,Yes,N/A
2025-06-29 11:20:01,8.8.8.8,Yes,15.359
2025-06-29 11:20:12,1.1.1.1,Yes,7.814
2025-06-29 11:20:13,192.168.1.1,Yes,N/A
2025-06-30 07:00:01,8.8.8.8,Yes,16.210
2025-06-30 07:00:02,1.1.1.1,Yes,3.145
2025-06-30 07:00:03,192.168.1.1,Yes,N/A
2025-06-30 07:10:01,8.8.8.8,Yes,19.064
